step;game1;game2;avg_loss;per_ab1;per_ab2;avg_l;min_l;max_l;max_weight;sum_total;memory;fr;epsilon;avglossma
17200;68804;208;0,98705;0,6;0,4;0,189;0,063;1;33,595;14047,3;78720;11,8;0,99;1,2533445
17300;69204;209;1,01026;0,6;0,4;0,189;0,063;1;33,595;14080,7;79104;12,8;0,99;1,2550686
17400;69604;211;0,94958;0,6;0,4;0,189;0,063;1;33,595;14073,4;79488;13,3;0,99;1,2565522
17500;70004;212;1,10323;0,6;0,4;0,189;0,063;1;33,595;14129,8;79872;13,1;0,99;1,2587883
17600;70404;213;0,97256;0,6;0,4;0,189;0,063;1;33,595;14136,9;80256;13,1;0,99;1,2585399
17700;70804;214;0,98728;0,6;0,4;0,189;0,063;1;33,595;14158,6;80640;12,9;0,99;1,2601105
17800;71204;215;1,04352;0,6;0,4;0,189;0,063;1;33,595;14192,8;81024;13,4;0,99;1,2622073
17900;71604;215;1,03745;0,6;0,4;0,189;0,063;1;33,595;14249,3;81408;13,5;0,99;1,2650272
18000;72004;217;0,98098;0,6;0,4;0,189;0,063;1;33,595;14330,7;81920;12,5;0,99;1,2662069
18100;72404;217;1,09737;0,6;0,4;0,189;0,063;1;33,595;14363;82304;12,8;0,99;1,2680217
18200;72804;219;0,94028;0,6;0,4;0,189;0,063;1;33,595;14366,2;82688;12,6;0,99;1,2686124
18300;73204;220;0,88991;0,6;0,4;0,189;0,063;1;33,595;14376,1;83072;13,4;0,99;1,2718225
18400;73604;221;0,88835;0,6;0,4;0,189;0,063;1;33,595;14402,4;83456;13,4;0,99;1,2759145
18500;74004;222;0,89378;0,6;0,4;0,189;0,063;1;33,595;14422,1;83840;13,2;0,99;1,2779055
18600;74404;223;0,92231;0,6;0,4;0,189;0,063;1;33,595;14438,5;84224;13,2;0,99;1,2814085
18700;74804;224;1,03288;0,6;0,4;0,189;0,063;1;33,595;14459,2;84608;13,5;0,99;1,2850441
18800;75204;225;1,05135;0,6;0,4;0,189;0,063;1;33,595;14503;84992;13,5;0,99;1,2876548
18900;75604;226;0,93494;0,6;0,4;0,189;0,063;1;33,595;14559,1;85504;13,2;0,99;1,2884435
19000;76004;227;0,91024;0,6;0,4;0,189;0,063;1;33,595;14594,7;85888;13,1;0,99;1,2899073
19100;76404;228;0,92233;0,6;0,4;0,189;0,063;1;33,595;14611,3;86272;13,2;0,99;1,2914149
19200;76804;229;0,96857;0,6;0,4;0,189;0,063;1;33,595;14646,7;86656;13,4;0,99;1,2927614
19300;77204;230;0,96722;0,6;0,4;0,189;0,063;1;33,595;14673,6;87040;13,4;0,99;1,293273
19400;77604;231;0,90318;0,6;0,4;0,189;0,063;1;33,595;14676,5;87424;13,4;0,99;1,2942004
19500;78004;233;0,85645;0,6;0,4;0,189;0,063;1;33,595;14716,3;87808;13,3;0,99;1,2955445
19600;78404;234;0,91124;0,6;0,4;0,189;0,063;1;33,595;14795,3;88192;13,4;0,99;1,2981613
19700;78804;235;0,91091;0,6;0,4;0,189;0,063;1;33,595;14817;88704;12,6;0,99;1,3001211
19800;79204;236;0,96592;0,6;0,4;0,189;0,063;1;33,595;14868,3;89088;13;0,99;1,3030996
19900;79604;237;0,85727;0,6;0,4;0,189;0,063;1;33,595;14915;89472;13,6;0,99;1,303565
20000;80004;238;0,94311;0,6;0,4;0,189;0,063;1;33,595;14936,9;89856;12,5;0,99;1,3075857
20100;80404;239;1,49789;0,6;0,4;0,166;0,063;1;35,289;15314,8;90240;13,1;0,99;1,3101024
20200;80804;240;1,60324;0,6;0,4;0,166;0,063;1;35,289;15708;90624;13,3;0,99;1,314996
20300;81204;241;1,63106;0,6;0,4;0,166;0,063;1;35,289;16102,2;91008;13,4;0,99;1,3168308
20400;81604;242;1,57643;0,6;0,4;0,166;0,063;1;35,289;16455,7;91392;13,4;0,99;1,3195014
20500;82004;243;1,43521;0,6;0,4;0,166;0,063;1;35,289;16777,2;91776;13,3;0,99;1,3217532
20600;82404;244;1,554;0,6;0,4;0,166;0,063;1;35,289;17162,2;92288;12,6;0,99;1,3241394
20700;82804;245;1,47863;0,6;0,4;0,166;0,063;1;35,289;17391,2;92672;12,9;0,99;1,3258271
20800;83204;247;1,48019;0,6;0,4;0,166;0,063;1;35,289;17694;93056;13,3;0,99;1,3285836
20900;83604;248;1,44949;0,6;0,4;0,166;0,063;1;35,289;18016,7;93440;13,3;0,99;1,3306254
21000;84004;249;1,58028;0,6;0,4;0,166;0,063;1;35,289;18295,8;93824;12,4;0,99;1,3326175
