game;len;score1;score2;score3;score4;fr;lenma
16810;707;2130;2525,9;1670;4460;0;865
16820;757;2350;2545,9;1670;4460;0;853,8
16830;933;2470;2548,4;1670;4460;0;845,1
16840;949;2580;2557,5;1670;4460;0;854,5
16850;793;3140;2539,8;1670;4020;0;854,1
16860;637;1920;2509,2;640;4020;0;842
16870;779;2220;2499,3;640;4020;0;829,7
16880;823;2290;2492,9;640;4020;0;834,7
16890;767;3170;2516,2;640;4020;0;827,8
16900;865;2070;2544,3;640;5470;0;832,2
16910;925;3260;2546,8;640;5470;0;829,4
16920;825;2900;2540,9;640;5470;0;830,7
16930;891;2530;2581,2;640;5470;0;826,4
16940;865;2480;2591,2;640;5470;0;835,6
16950;813;2570;2592,7;640;5470;0;837,4
16960;727;2650;2595,3;1450;5470;0;831,7
16970;829;2790;2643,7;1450;5470;0;836,8
16980;863;3320;2643;1450;5470;0;837,5
16990;1031;2290;2644,5;1450;5470;0;844,2
17000;1065;3180;2644,2;1450;4400;0;842,2
17010;743;2340;2646,1;1450;4400;0;844
17020;729;2920;2668,6;1450;5040;0;842,6
17030;887;2810;2659,9;1450;5040;0;840,3
17040;699;2820;2674,1;1450;5040;0;827,8
17050;979;2340;2679,5;1450;5040;0;837,1
17060;863;2400;2692,6;1040;5040;0;848,4
17070;877;2420;2623,8;1040;5040;0;853,3
17080;1041;2970;2624;1040;5040;0;864,2
17090;745;2390;2606,8;1040;5040;0;863,1
17100;759;2090;2579,5;1040;5040;0;857,8
17110;895;2680;2559,9;1040;5040;0;856,3
17120;723;2840;2519,7;1040;4810;0;851,2
17130;1269;2490;2514,3;1040;4810;0;870,1
17140;711;1980;2517,8;1040;4810;0;862,4
17150;917;2440;2477,9;1040;4810;0;867,6
17160;897;3430;2492,6;1080;4810;0;876,1
17170;843;2560;2530,4;1080;4810;0;876,8
17180;1023;2480;2525;1080;4810;0;884,8
17190;897;2750;2525,8;1080;4680;0;878,1
17200;1069;2470;2549,3;1730;4680;0;878,3
17210;1043;2750;2595,5;1890;4680;0;893,3
17220;1005;3220;2604,2;1890;4680;0;907,1
17230;797;3140;2603,1;1890;4680;0;902,6
17240;823;2000;2605;1890;6670;0;908,8
17250;783;1830;2621,5;1830;6670;0;899
